               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  53,            0.069762,            0.010813,                   0,             0.69644,             0.54867,             0.55063,             0.17705,            0.064856,            0.011226,                   0,           0.0079408,           0.0079408,           0.0079408
                  54,            0.067798,            0.011549,                   0,             0.62299,             0.47788,             0.47056,             0.16974,            0.065053,            0.010791,                   0,           0.0079012,           0.0079012,           0.0079012
                  55,              0.0651,            0.011914,                   0,             0.66794,             0.64085,             0.58226,                 0.2,            0.060721,            0.011642,                   0,           0.0078616,           0.0078616,           0.0078616
                  56,            0.064624,            0.011683,                   0,             0.16514,             0.42478,             0.10446,            0.033362,            0.070779,            0.017187,                   0,            0.007822,            0.007822,            0.007822
                  57,            0.065755,            0.011177,                   0,             0.50494,             0.59292,             0.48148,             0.14714,            0.066077,            0.010506,                   0,           0.0077824,           0.0077824,           0.0077824
                  58,             0.06726,            0.011004,                   0,             0.49125,             0.35398,              0.3612,             0.11049,            0.067741,            0.011546,                   0,           0.0077428,           0.0077428,           0.0077428
                  59,            0.064252,            0.011265,                   0,             0.46198,             0.36283,              0.3054,            0.092823,            0.079596,            0.013085,                   0,           0.0077032,           0.0077032,           0.0077032
                  60,            0.065225,            0.010544,                   0,             0.65279,             0.63717,             0.60051,             0.17454,            0.062066,            0.010259,                   0,           0.0076636,           0.0076636,           0.0076636
                  61,            0.064273,           0.0099919,                   0,             0.62081,             0.53982,             0.56199,             0.18767,            0.062906,           0.0096089,                   0,            0.007624,            0.007624,            0.007624
                  62,            0.064038,            0.010541,                   0,             0.56614,             0.68142,             0.60562,             0.18599,            0.059651,           0.0094485,                   0,           0.0075844,           0.0075844,           0.0075844
                  63,            0.063798,            0.010341,                   0,             0.61775,             0.59292,             0.55825,              0.1883,            0.061952,           0.0098926,                   0,           0.0075448,           0.0075448,           0.0075448
                  64,            0.064886,            0.009737,                   0,             0.63902,             0.61062,             0.63782,             0.21291,            0.061931,           0.0096978,                   0,           0.0075052,           0.0075052,           0.0075052
                  65,            0.064535,             0.01085,                   0,             0.55467,             0.63931,             0.59797,             0.17288,            0.064237,           0.0098492,                   0,           0.0074656,           0.0074656,           0.0074656
                  66,             0.06987,           0.0097029,                   0,             0.61217,             0.64602,             0.56611,              0.1866,            0.063099,            0.010203,                   0,            0.007426,            0.007426,            0.007426
                  67,            0.069622,            0.010788,                   0,             0.67818,             0.61544,             0.62294,             0.20063,            0.061446,            0.011232,                   0,           0.0073864,           0.0073864,           0.0073864
                  68,            0.066186,            0.010578,                   0,              0.5479,             0.56637,             0.46923,              0.1383,            0.065185,            0.010182,                   0,           0.0073468,           0.0073468,           0.0073468
                  69,            0.062882,            0.011304,                   0,              0.7055,             0.57241,             0.60721,             0.21964,                 nan,                 nan,                   0,           0.0073072,           0.0073072,           0.0073072
                  70,            0.060936,            0.010646,                   0,             0.73524,             0.55752,             0.64138,             0.23436,                 nan,                 nan,                   0,           0.0072676,           0.0072676,           0.0072676
                  71,            0.063544,           0.0095569,                   0,             0.68656,             0.50442,             0.57647,              0.1922,                 nan,                 nan,                   0,            0.007228,            0.007228,            0.007228
                  72,            0.063207,            0.010269,                   0,             0.64686,             0.38053,             0.41324,              0.1278,            0.068865,                 nan,                   0,           0.0071884,           0.0071884,           0.0071884
                  73,            0.061872,            0.010188,                   0,             0.67895,             0.37433,             0.43924,             0.14655,            0.066264,            0.011913,                   0,           0.0071488,           0.0071488,           0.0071488
                  74,            0.062911,            0.010229,                   0,             0.66407,             0.28319,             0.33858,             0.10505,            0.081815,            0.013039,                   0,           0.0071092,           0.0071092,           0.0071092
                  75,            0.061419,            0.011857,                   0,             0.75861,             0.50064,             0.55739,             0.18554,            0.062124,             0.01193,                   0,           0.0070696,           0.0070696,           0.0070696
                  76,            0.066817,            0.010973,                   0,             0.53768,             0.61062,             0.54287,             0.17841,            0.059658,            0.011687,                   0,             0.00703,             0.00703,             0.00703
                  77,            0.062069,            0.010913,                   0,             0.59388,             0.37168,             0.38725,             0.12449,            0.069655,            0.013102,                   0,           0.0069904,           0.0069904,           0.0069904
                  78,            0.063627,            0.010721,                   0,             0.67584,             0.61062,             0.61598,             0.20735,                 nan,                 nan,                   0,           0.0069508,           0.0069508,           0.0069508
                  79,            0.060303,            0.010355,                   0,             0.68401,             0.61947,             0.65632,             0.24723,                 nan,                 nan,                   0,           0.0069112,           0.0069112,           0.0069112
                  80,            0.060304,             0.01103,                   0,              0.7292,             0.61947,             0.66555,             0.21171,            0.062008,                 nan,                   0,           0.0068716,           0.0068716,           0.0068716
                  81,             0.06284,            0.011103,                   0,             0.60556,             0.32743,             0.35851,             0.10914,            0.080707,                 nan,                   0,            0.006832,            0.006832,            0.006832
                  82,            0.062572,            0.010329,                   0,             0.63779,             0.54867,              0.5456,              0.1866,            0.062075,            0.010243,                   0,           0.0067924,           0.0067924,           0.0067924
                  83,            0.061925,           0.0099453,                   0,             0.70922,             0.56123,             0.61318,             0.21555,            0.060067,           0.0097547,                   0,           0.0067528,           0.0067528,           0.0067528
                  84,            0.065461,           0.0097696,                   0,             0.71852,             0.49558,             0.58859,             0.19062,            0.065037,           0.0097127,                   0,           0.0067132,           0.0067132,           0.0067132
                  85,            0.062683,            0.011058,                   0,             0.71921,             0.30973,             0.35273,             0.11705,            0.078138,             0.01613,                   0,           0.0066736,           0.0066736,           0.0066736
